text,user1,user2,user3,user4,user5
"خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز
خستم از این همه فکر پس انداز",1,1,1,1,1
روز ۵ شنبه ای ی جوری سر مار شلوغ بودیم ک کل هفته آنقدر کار نداشتیم,1,1,1,1,1
ولی جدی من معمارم. به جای اینکه خط‌کش تی و کاغذ پوستی با خودم ببرم سر ساختمون، به جای اینکه سیب و خیار و جاچسبی رو بذارم جلوم کانسپت بزنم، شب تا صبح بیدار میمونم و چشمام در میاد.,1,1,1,1,1
"تا دیروز توییترو هی چک میکردم بخاطر جدیدترین خبرهای ط**رح صی***انت
امروز هم سربازی پسرا، هم ط**رح صی****انت.
کلا روز بدون استرس به من نیومده 🙂😂",1,1,1,1,1
"چه نقشه هایی که براش نداشتم.
نوری تو دلم بود،انگیزه راهم برای نگه داشتن همه چی از جمله زندگی.حیف...",1,1,1,1,1
"آخرم را
شنيده اى اما...
در دلت هيچ التهابى نيست
با تــــو مرگ و
بدون تـــــو مرگ است
عشق را هيچ انتخابى نيست!

((عليرضا آذر))",1,1,1,1,1
"و زخم های من همه از عشق است
از عشق
از عشق
و از عشق
...
#فروغ_فرخزاد",1,1,1,1,1
"یه گهی خوردم که روم نمیشه اینجا بگم
اما امروز فردا منتظر نتیجشم
دعا کنین گوهی که خوردم خیلی بد نباشه 🤫🥺😭
وگرنه بدبختتتتتم...😫
خدایا زودتر لطفا 🙄",1,1,1,1,1
"اینکه دیگه ندارمت تا اتفاقای خوبی که امروز برام افتاد رو برات تعریف کنم ، بخاطر یه سری آدمای دور و ورته که هنوزم کنارت نگهشون داشتی و من هنوز نفهمیدم که چرا؟
ولی .... نباید اینجوری تنهام میزاشتی ...‌.",1,1,1,1,1
"۱- روز خوبیه برای گرفتن تصمیم های بزرگ!
مثلا جرعت کنم و بهشون بگم من خستم و دیگه نمیخوام باهاتون همکاری کنم، به یکی دیگه زنگ بزنم و بگم از اون موقع که برات کار کردم هزار ماه گذشته و هنوز پول کوفتیمو ندادی، به یکی دیگهبگم چقدر ازت متنفرم و چقدر آدم عوضی به نظر میای. به یکی",1,1,1,1,1
از لحاظ روحی احتیاج دارم تولدم باشه و یه کادوی خوب بگیرم و کلی ام بهم خوش بگذره، چیزی که چند سالیه اتفاق نمیفته و فکر می‌کنم دیگه هم اتفاق نمیفته,1,1,1,1,1
"باورم نمیشه این هفته مزخرف بیخود پراسترس تموم شد !!
دلم میخواد یک سال استراحت کنم فقط به خاطر این هفته !",1,1,1,1,1
"از فردا صبح تا حداقل یه هفته دی اکتیو میکنم
حالم دیگه از توییتر داره بهم میخوره",1,1,1,1,1
"این مغز کپک زده‌م رو باید بندازم تو چاه توالت، سیفون رو هم بکشم....
به یک مغز تمیز و سالم نیاز دارم که بتونه حداقل برای چند ساعت در روز، تمرکز کنه...",1,1,1,1,1
دوستمو، شوهرش داره طلاق میده چون بچه دار نمیشه، آقااززن سابقش دوتا غول چراغ جادو داره، الانم نه وسایل نه طلا نه حق و حقوق رفیق مارونمیده هیچ، چون دستش همه جا بازه با قلدری تمام میگه برو دستت هرجا بنده بذار اونجا... جیگرم برای این دختر خون,1,1,1,1,1
هیچی مثل #کرونا #تیر_خلاص نبود برا پیکر نحیف و زخمی #رفاقت‌ های این دور و زمونه,1,1,1,1,1
"شنونده‌ی هیچ خبر و حرف ناامیدکننده‌ی از اطرافیانم نیستم؛ 
و خب ناراحتن  و گله میکنن که چرا نیستم!!! 
جان ندارم بهشون بگم نیستم چون لیوان خودم تا خرتناق پُره.",1,1,1,1,1
وقتایی که استقلال می‌بازه بیشتر از باخت، اینکه باید تظاهر کنی داری عادی زندگی میکنی اذیتت میکنه. همیشه ببر آقای استقلال💙,1,1,1,1,1
همش نگران اینم که ازدواج کنم، بعد یهو بیوفتم بمیرم، زنم بعد من میخواد چی کارکنه؟ تنها میشه غصه میخوره که!🥺,1,1,1,1,1
"عرزشی‌ها و طرفداران‌ج.ا از اینکه بهشون میگیم‌حرام‌لقمه‌ی وطن‌فروش مزدور ماله‌کش خون شور بی‌عقل سگ خامنه‌ای متحجر دروغگو و بی‌شرف ناراحت میشن و میگن شما فحاش هستین.
عزیزم اینا فحش نیست.
داریم توصیفتون میکنیم.آدم از دست آیینه که ناراحت نمیشه؟",1,1,1,1,1
"بعد تو بعدی در کار نبوده.
واسه من یا تو بودی یا تو یا تو یا... 🚬",1,1,1,1,1
"تلگرام عنتر خودش کش آهنگامو پاک کرده😑
من کی بهت اجازه دادم همچین کاری بکنی😑
من میخواستم گوشیم هنگ کنه اصن به تو چه😑",1,1,1,1,1
"متاسفانه باید در جریان یه تراژدی هولناک باشید!
جمهوری اسلامی چندین ساله که از ژاپن اسلامی شدن کشیده بیرون و سعی در چین اسلامی شدن داره!
اینی که میبینید حقوقتون چس‌مقدارم ارزش نداره بابت اینه که هنوز اولای چین شدن هستیم.
#برو‌که‌بریم",1,1,1,1,1
