Text,True_Label,Ensemble_Prediction
خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز خستم از این همه فکر پس انداز,1,0
روز ۵ شنبه ای ی جوری سر مار شلوغ بودیم ک کل هفته آنقدر کار نداشتیم,1,1
ولی جدی من معمارم به جای اینکه خطکش تی و کاغذ پوستی با خودم ببرم سر ساختمون به جای اینکه سیب و خیار و جاچسبی رو بذارم جلوم کانسپت بزنم شب تا صبح بیدار میمونم و چشمام در میاد,1,1
تا دیروز توییترو هی چک میکردم بخاطر جدیدترین خبرهای طرح صیانت امروز هم سربازی پسرا هم طرح صیانت کلا روز بدون استرس به من نیومده,1,1
چه نقشه هایی که براش نداشتم نوری تو دلم بودانگیزه راهم برای نگه داشتن همه چی از جمله زندگیحیف,1,0
آخرم را شنيده اى اما در دلت هيچ التهابى نيست با تــــو مرگ و بدون تـــــو مرگ است عشق را هيچ انتخابى نيست عليرضا آذر,1,0
و زخم های من همه از عشق است از عشق از عشق و از عشق,1,0
یه گهی خوردم که روم نمیشه اینجا بگم اما امروز فردا منتظر نتیجشم دعا کنین گوهی که خوردم خیلی بد نباشه وگرنه بدبختتتتتم خدایا زودتر لطفا,1,1
اینکه دیگه ندارمت تا اتفاقای خوبی که امروز برام افتاد رو برات تعریف کنم بخاطر یه سری آدمای دور و ورته که هنوزم کنارت نگهشون داشتی و من هنوز نفهمیدم که چرا ولی نباید اینجوری تنهام میزاشتی,1,0
۱ روز خوبیه برای گرفتن تصمیم های بزرگ مثلا جرعت کنم و بهشون بگم من خستم و دیگه نمیخوام باهاتون همکاری کنم به یکی دیگه زنگ بزنم و بگم از اون موقع که برات کار کردم هزار ماه گذشته و هنوز پول کوفتیمو ندادی به یکی دیگهبگم چقدر ازت متنفرم و چقدر آدم عوضی به نظر میای به یکی,1,0
از لحاظ روحی احتیاج دارم تولدم باشه و یه کادوی خوب بگیرم و کلی ام بهم خوش بگذره چیزی که چند سالیه اتفاق نمیفته و فکر میکنم دیگه هم اتفاق نمیفته,1,0
باورم نمیشه این هفته مزخرف بیخود پراسترس تموم شد دلم میخواد یک سال استراحت کنم فقط به خاطر این هفته,1,1
از فردا صبح تا حداقل یه هفته دی اکتیو میکنم حالم دیگه از توییتر داره بهم میخوره,1,1
این مغز کپک زدهم رو باید بندازم تو چاه توالت سیفون رو هم بکشم به یک مغز تمیز و سالم نیاز دارم که بتونه حداقل برای چند ساعت در روز تمرکز کنه,1,1
دوستمو شوهرش داره طلاق میده چون بچه دار نمیشه آقااززن سابقش دوتا غول چراغ جادو داره الانم نه وسایل نه طلا نه حق و حقوق رفیق مارونمیده هیچ چون دستش همه جا بازه با قلدری تمام میگه برو دستت هرجا بنده بذار اونجا جیگرم برای این دختر خون,1,0
هیچی مثل نبود برا پیکر نحیف و زخمی های این دور و زمونه,1,0
شنوندهی هیچ خبر و حرف ناامیدکنندهی از اطرافیانم نیستم و خب ناراحتن و گله میکنن که چرا نیستم جان ندارم بهشون بگم نیستم چون لیوان خودم تا خرتناق پره,1,0
وقتایی که استقلال میبازه بیشتر از باخت اینکه باید تظاهر کنی داری عادی زندگی میکنی اذیتت میکنه همیشه ببر آقای استقلال,1,1
همش نگران اینم که ازدواج کنم بعد یهو بیوفتم بمیرم زنم بعد من میخواد چی کارکنه تنها میشه غصه میخوره که,1,1
عرزشیها و طرفدارانجا از اینکه بهشون میگیمحراملقمهی وطنفروش مزدور مالهکش خون شور بیعقل سگ خامنهای متحجر دروغگو و بیشرف ناراحت میشن و میگن شما فحاش هستین عزیزم اینا فحش نیست داریم توصیفتون میکنیمآدم از دست آیینه که ناراحت نمیشه,1,1
بعد تو بعدی در کار نبوده واسه من یا تو بودی یا تو یا تو یا,1,0
تلگرام عنتر خودش کش آهنگامو پاک کرده من کی بهت اجازه دادم همچین کاری بکنی من میخواستم گوشیم هنگ کنه اصن به تو چه,1,1
متاسفانه باید در جریان یه تراژدی هولناک باشید جمهوری اسلامی چندین ساله که از ژاپن اسلامی شدن کشیده بیرون و سعی در چین اسلامی شدن داره اینی که میبینید حقوقتون چسمقدارم ارزش نداره بابت اینه که هنوز اولای چین شدن هستیم کهبریم,1,0
توی شهر کاملا ایزولهام کرونا نبود هم جایی نداشتم برم با فرهنگ و زندگی مردم احساس بیگانگی میکنم خیلی وقته دیگه ترندها رو هم دنبال نمیکنم نه میدونم فلان سریال شبکه خانگی که میبینن چیه نه فلان خواننده و مجری کیه کاملا بیگانه فکر نکنم تو این بیگانگی تنها باشم,1,1
حقیقتا خسته شدم از فعالیت برای مشکلات اجتماعی سیاسی مملکت انقدر که افسرده و داغونم میکنه دیگ نمیکشم و رها کردم همون اصطلاح معروف من تیر خوردم شما ادامه بدید,1,1
بازارخراااابه آقا خراااااب پاشیم جمع کنیم آخرهفته رو بریم یه وری کمپ کنیم بشوره ببره این هفته رو,1,0
درد میدونی چیه درد پسریه که میخواد برای عشقش تولد بگیره کادو بخره اما پولشو نداره,1,0
قلمت بشکند تاریخ اگر ننویسی که برای بهشت نادیده ات زندگی را برای مردم جهنم کردند اگر ننویسی که به اسم دفاع از مستضعفان زندگی های اشرافی برای خود و دوستانشان فراهم کردند ننگت باد تاریخ اگر ننویسی که برای کارگر حقوق ۳میلیون هزار تومانی و برای خودشان حقوقهای نجومی تصویب,1,0
خدا رو شکر امنیت داریم بیشتر از یک لیتر شراب توی صندوق عقب ماشین داشتم رفتم تعویض روغن و کارواش الان دیدم نیستش شکایت هم نمیشه کرد,1,0
دیشب به صفا به شوخی گفتم تو میخوای منو محدود کنی تا همین لحظه ای که در خدمت شما هستم ناراحته,1,0
یه طوری هوا ابری و سنگینه که دل گرفتگی رو به حد اعلا رسونده کاش بارون بگیره باز و گرنه خودم میبارم,1,0
شلوغ ترین روزای عمرمه این مدت حجم خستگی و فشاری که رومه قابل توصیف نیست اما نکته جالب ماجرا اینجاست که خوشحال ترین آدم رو زمینم پر از حس و حال خووب,1,0
اگه میتونستم بین درمان سرطان و میسوفونیا یکیو انتخاب کنم قطعا میسوفونیا رو انتخاب میکردم گاییده شدم دیگه هر کیم از اونور میاد یا با دهن باز آدامس میجوه یا میشینه جلوی من نخ دندون میکشه,1,0
برای کفشی که همیشه پایت را می زند فرقی نمی کند تو راهت را درست رفته باشی یا اشتباه هر مسیری را با او همقدم شوی باز هم دست آخر به تاول های پایت می رسی آدم ها هم به کفش ها بی شباهت نیستند آدمی که همیشه آزارت می دهد هیچ وقت نخواهد فهمید تو چه دردی را تحمل کردی تا با او همقدم باشی,1,1
تنها چیزی که فکر میکنم برای این استرس و حالت بیقرار این روزهام ممکنه درمان باشه یه بغل طولانی و امنه,1,1
زنده را تا زنده است باید به فریادش رسید کنیم تا کشته های هرروز هر روز کاهشی شوند تا به امید خدا از شر این ویروس راحت شیم ور نه بر سنگ مزارش آب پاچیدن چه سود,1,0
فرمودید پرونده اعمال هر صبح و شام به شما عرضه میشه و سختترین عذاب وقتیه که بیدار میشم از غفلت و یادم میاد شما شاهد تمام احوالمی,1,0
این اقائه که میاد تست بگیرهکل خانواده ی مارو معذب کرده هربار میاد خونه کثیفه هر کودوم هم با یه تیپ داغون نشستیم داریم یه کاری میکنیم قشنگ چهارتا آدم پرت تو حال هیچ کی هم تو اتاق نمیره,1,0
هیچ وقت بی اجازه از کارت پدرتون خرج نکنید 2 هفته پیش چهارصدتومن از کارتش برداشتم هنوز دارم تاوان میدم,1,1
موانعی که یک دختر تو زندگیش باهاشون مواجهه مثل یک انسان معمولی نیست یک دختر از همه نظر محدود میشه خانوادش بهش میگن تو نمیتونی همسرش میگه تو نباید کار کنی و موفق شی جامعه اونو جنس دو خطاب میکنه و اولویت رو به مرد میده,1,0
چنل قبلی منو حلما و لعیا به فاک رفت میخوایم چنل جدید بزنیم دنبال اسمیم همه مغزا قفل,1,0
ببین تو خیلی خوبی خیلی جذابی ولی واقعا گمشو از ذهنم بیرون بزار به کار و زندگیم برسم,1,0
واقعا نمیفهمم چرا وقتی یکی از سختیهای بعد مهاجرت یا حتی پشیمونیهاش میگه انقدر میریزین سرش طبیعتا مهاجرت قرار نیست یک شبه همهی مشکلاتو حل کنه و کلی فشار و سختی داره اینکه شما دلتون میخواد مهاجرت کنین ولی هنوز نتونستین که مقصرش اون بنده خدا نیست,1,1
حال امروز مردم شبیه کتاب آدمها و خرچنگها نوشته خوزوئه دوکاسترو است تصویر وحشتناکیست از آدمها و گرسنگی طبیعیت وحشی و خدایی که انگار چشمش را به روی بدبختیهای این مردم بسته است,1,0
هوارو ازت میگیرن دستشونو فشار میدن رو گلوت میگن نفس بکش بقیه ام میگن پس این چرا نفس نمیکشه تو حتی صدات درنمیاد که بخوای توضیح بدی,1,1
میگفتند تنها چیزی که همه دردها را دوا میکند عشق است پیدا بود که هنوز مبتلا نشده بودند,1,0
یعنی دقیقا امروز باید تمام امراض بدنم خودنمایی کنند با ۱۱ تا درد مختلف دارم ادامه میدم,1,0
بس که جان در آتش غم سوختیم در حرم رفتیم و محرم سوختیم چون برآوردیم با عشقش دمی دم فرو بستیم و همدم سوختیم,1,1
آرامبخش ندارم با خودم و پنیک نکردن جزو نقاط قوتم نیست همین الان فکر میکنم علائمش میزنه بیرون,1,1
بعد سه روز اولین روزیه که دستم درد نمیکنه و من دز دوم رو چی نمیزنم,1,0
حس میکنم دل و رودهی مشکلات و بدبختیامو ریختم بیرون و کاری براشون نمیکنم قبل تراپی نمیدونستم درد چیه درمون چیه حالا میدونم درد چیه ولی بازم درمون نه,1,1
خیلی به شوهراشون رو میدن دل میخواد کون خودشون و شوهراشون رو با هم پاره کنم,1,0
به جايى رسيده ام كه ديگر ضربه هاى اطرافيان خشمگينم نمیکند دیگر ناراحت نمیشوم فقط بغضم را به آرامى قورت ميدهم و اشکهایم را با بالشتم قسمت ميكنم به جايى رسيده ام كه عشق را براى خود مرگ معنا ميكنم من یقین پیدا کرده ام كه ديگر ادامه دادن به این روزهای بی هدف فايده اى ندارد,1,0
واي همين الان راننده اسنپ كه يه اقاي جووني هم هست زنگ زد خانمش گفت سلام من دارم ميام خونه ناهارت آماده باشه حوصله ندارم صبركنم مرتيكه پدرسگ آدم با نوكرش هم اينجوري حرف نميزنه عنتر,1,0
خیلی بیتحملتر و پرخاشگرتر شدم تا اطلاع ثانوی هر لحظه ممکنه پاچه بگیرم,1,0
واقعا برای سوال چرا من رو به دنیا آوردینمگه من خواستم به دنیا بیام بچه ها جوابی هست,1,1
و دلم عمیقا میخواد شمال بودم میرفتم یکم تو طبیعت تا حالم بهتر بشه این تهرانیا چجوری این شهرو تحمل میکنن,1,0
واسه پایان نامم استاد راهنما ندارم اونم پیدا بشه موضوع ندارم حوصله هم خیلی وقته ندارم,1,1
امروز خبرها را خواندم دوباره ب این نتیجه رسیدم تا مردم ایران مستقیم نابودی این نظام و دفاع مشروع را حق مسلم خود ندانند هر روز بدتر از روز دیگر هست کار این نظام از تحلیل و صحبتهای آکادمیک گذشته باید بزنی تا پیروز شوی تو که جلوی مجلس منتظری رئیسی کاری برات بکنه هنوز تو خوابی بفهم,1,0
دلم میخواد تنهای تنها توی خونه خودم زندگی کنم من واقعا دیگه انرژی تحمل کردن یکی دیگه کنارمو ندارم,1,1
از سربازطالب امروز تا جماعت غلغله کن و چپیده درهم داخل بهشت زهرا و سپس مسجدرفاه این پیاده نظام بربریت هستندکه مجال بروز و ظهور امثال خمینی ملاعمر بوبکربغدادی و آخوندزاده در۱جامعه وبدنبالشان خلخالی ها وحقانیها و لاجوردیها وظواهری ها وسلطه خونبارشان برجامعه رامیدهند,1,0
چندوقت پیش قلبم از شدت خستگی و نا امیدی خواست وایسه بهش گفتم ببین شاید این دنیارو دوست نداشته باشی ولی باید زندگی کنی پرسید چرا جوابی نداشتم بدتر خودمم پنیک شدم,1,1
پیامی دارم برای هرهموطنی که هنوزهم تواین شرایط بیتفاوت مونده چون غیراینجا تریبونی ندارم همینجامیگم بچشم یکیشون هم بخوره کافیه متن پیام حقیرترپلیدترکثیفتروبیشرفترازجاعش ومقامات ومزدوران وماله کشاش تو وامثال تویید که انها یا ازاعتقاد یانفع چنانند وشما ازسر سفلگی وبیشرفی چنین,1,1
متاسفانه همیشه بزرگان اخلاقی محافظه کار به اسم اسلام و مصلحت اسلام عدالتخواهانه را سر می برند اسلام و انقلاب و مردم کم از این ها ضربه نخورده اند و متنفذین رانت خوار کم از این ها سود نبرده اند,1,0
پلن a مهاجرته پلن b خودکشیفعلا همین پلنارو داشته باشید چیز دیگه ای به ذهنم رسید حتما توییت میکنم,1,0
به چشام نگاه کرد و گفت تو برای تحمل این دردا هنوز خیلی بچه ای نگامو دوختم زمین و گفتم ماهی زنجیری آب است و من زنجیری رنج,1,0
من اصلا اصلا حلالت نمیکنم که پول سرمو ندادی به من گفتی دادی بخاطر اینکه من پولشو ناچار شدم بدم نه بخاطر اینکه دروغ گفتی,1,0
